item_id,title,budget,genres,origin_country,production_companies,overview,
1,Toy Story (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
2,GoldenEye (1995),0,"Comedy, Drama",Finland,Villealfa Filmproductions,"After the coal mine he works at closes and his father commits suicide, a Finnish man leaves for the city to make a living but there, he is framed and imprisoned for various crimes.",/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg
3,Four Rooms (1995),0,"Comedy, Drama",Finland,Villealfa Filmproductions,"Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.",/nj01hspawPof0mJmlgfjuLyJuRN.jpg
4,Get Shorty (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
5,Copycat (1995),4000000,Comedy,United States of America,"Miramax, A Band Apart",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),21000000,"Action, Crime",United States of America,"Largo Entertainment, JVC, Universal Pictures","Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.",/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg
7,Twelve Monkeys (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
8,Babe (1995),42000,Documentary,Austria,inLoops,"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006",/7ln81BRnPR2wqxuITZxEciCe1lc.jpg
9,Dead Man Walking (1995),0,Drama,Germany,,,
10,Richard III (1995),0,Unknown,Unknown,Unknown,Unknown,Unknown
