,movie_name,num_ratings,avg_rating
1398,Star Wars (1977),584,4.359589041095891
333,Contact (1997),509,3.8035363457760316
498,Fargo (1996),508,4.155511811023622
1234,Return of the Jedi (1983),507,4.007889546351085
860,Liar Liar (1997),485,3.156701030927835
460,"English Patient, The (1996)",481,3.656964656964657
1284,Scream (1996),478,3.4414225941422596
1523,Toy Story (1995),452,3.8783185840707963
32,Air Force One (1997),431,3.6310904872389793
744,Independence Day (ID4) (1996),429,3.438228438228438
1205,Raiders of the Lost Ark (1981),420,4.252380952380952
612,"Godfather, The (1972)",413,4.283292978208232
1190,Pulp Fiction (1994),394,4.060913705583756
1543,Twelve Monkeys (1995),392,3.798469387755102
1329,"Silence of the Lambs, The (1991)",390,4.28974358974359
780,Jerry Maguire (1996),384,3.7109375
293,Chasing Amy (1997),379,3.8390501319261214
1251,"Rock, The (1996)",378,3.693121693121693
456,"Empire Strikes Back, The (1980)",368,4.206521739130435
1394,Star Trek: First Contact (1996),365,3.66027397260274
1500,Titanic (1997),350,4.2457142857142856
113,Back to the Future (1985),350,3.834285714285714
987,Mission: Impossible (1996),344,3.313953488372093
570,"Fugitive, The (1993)",336,4.044642857142857
747,Indiana Jones and the Last Crusade (1989),331,3.930513595166163
1633,Willy Wonka and the Chocolate Factory (1971),326,3.6319018404907975
1178,"Princess Bride, The (1987)",324,4.172839506172839
551,Forrest Gump (1994),321,3.853582554517134
1274,"Saint, The (1997)",316,3.1234177215189876
996,Monty Python and the Holy Grail (1974),316,4.0664556962025316
572,"Full Monty, The (1997)",315,3.926984126984127
964,Men in Black (1997),303,3.745874587458746
1461,"Terminator, The (1984)",301,3.9335548172757475
446,E.T. the Extra-Terrestrial (1982),300,3.8333333333333335
389,Dead Man Walking (1995),299,3.8963210702341136
855,Leaving Las Vegas (1995),298,3.697986577181208
1281,Schindler's List (1993),298,4.466442953020135
225,Braveheart (1995),297,4.151515151515151
829,L.A. Confidential (1997),297,4.161616161616162
332,Conspiracy Theory (1997),295,3.4237288135593222
1460,Terminator 2: Judgment Day (1991),295,4.0067796610169495
178,"Birdcage, The (1996)",293,3.4436860068259385
1547,Twister (1996),293,3.2150170648464163
1005,Mr. Holland's Opus (1995),293,3.7781569965870307
41,Alien (1979),291,4.034364261168385
1615,When Harry Met Sally... (1989),290,3.910344827586207
44,Aliens (1986),284,3.9471830985915495
1317,"Shawshank Redemption, The (1994)",283,4.445229681978798
773,Jaws (1975),280,3.775
643,Groundhog Day (1993),280,3.7642857142857142
88,Apollo 13 (1995),276,3.931159420289855
50,Amadeus (1984),276,4.163043478260869
184,Blade Runner (1982),275,4.138181818181818
1537,"Truth About Cats & Dogs, The (1996)",272,3.485294117647059
1297,Sense and Sensibility (1995),268,4.0111940298507465
1210,Ransom (1996),267,3.644194756554307
1572,"Usual Suspects, The (1995)",267,4.385767790262173
1102,One Flew Over the Cuckoo's Nest (1975),264,4.291666666666667
797,Jurassic Park (1993),261,3.7203065134099615
476,Evita (1996),259,2.9806949806949805
7,2001: A Space Odyssey (1968),259,3.969111969111969
1208,Raising Arizona (1987),256,3.875
373,Dances with Wolves (1990),256,3.79296875
235,Broken Arrow (1996),254,3.031496062992126
390,Dead Poets Society (1989),251,3.9163346613545817
199,"Blues Brothers, The (1980)",251,3.8366533864541834
554,Four Weddings and a Funeral (1994),251,3.6613545816733066
579,"Game, The (1997)",251,3.593625498007968
1524,Trainspotting (1996),250,3.884
528,"Fish Called Wanda, A (1988)",247,3.785425101214575
1644,"Wizard of Oz, The (1939)",246,4.0772357723577235
1397,Star Trek: The Wrath of Khan (1982),244,3.8155737704918034
1146,Phenomenon (1996),244,3.557377049180328
273,Casablanca (1942),243,4.45679012345679
414,Die Hard (1988),243,3.8724279835390947
1407,"Sting, The (1973)",241,4.058091286307054
411,"Devil's Own, The (1997)",240,3.1083333333333334
378,Dante's Peak (1997),240,2.933333333333333
627,"Graduate, The (1967)",239,4.104602510460251
1189,Psycho (1960),239,4.100418410041841
1301,Seven (Se7en) (1995),236,3.847457627118644
1495,"Time to Kill, A (1996)",232,3.685344827586207
762,It's a Wonderful Life (1946),231,4.121212121212121
733,In & Out (1997),230,3.3043478260869565
1373,Speed (1994),230,3.6478260869565218
715,"Hunt for Red October, The (1990)",227,3.8634361233480177
1386,Stand by Me (1986),227,3.881057268722467
623,GoodFellas (1990),226,3.9513274336283186
666,Heat (1995),223,3.569506726457399
1365,"Sound of Music, The (1965)",222,3.765765765765766
317,"Clockwork Orange, A (1971)",221,3.909502262443439
345,Courage Under Fire (1996),221,3.6108597285067874
87,Apocalypse Now (1979),221,4.04524886877828
1516,Top Gun (1986),220,3.481818181818182
867,"Lion King, The (1994)",220,3.7818181818181817
36,Aladdin (1992),219,3.8127853881278537
109,Babe (1995),219,3.9954337899543377
1588,Volcano (1997),219,2.808219178082192
1507,To Kill a Mockingbird (1962),219,4.292237442922374
1020,Murder at 1600 (1997),218,3.0871559633027523
945,Mars Attacks! (1996),217,2.847926267281106
249,Butch Cassidy and the Sundance Kid (1969),216,3.949074074074074
1135,"People vs. Larry Flynt, The (1996)",215,3.5953488372093023
1339,Sleepless in Seattle (1993),213,3.539906103286385
517,Field of Dreams (1989),212,3.69811320754717
1401,Starship Troopers (1997),211,3.2322274881516586
591,Get Shorty (1995),209,3.550239234449761
613,"Godfather: Part II, The (1974)",209,4.186602870813397
1215,Rear Window (1954),209,4.3875598086124405
1533,True Lies (1994),208,3.5625
226,Brazil (1985),208,3.8173076923076925
909,M*A*S*H (1970),206,3.912621359223301
463,Eraser (1996),206,3.150485436893204
1322,"Shining, The (1980)",206,3.825242718446602
142,Beauty and the Beast (1991),202,3.792079207920792
209,"Boot, Das (1981)",201,4.203980099502488
132,Batman (1989),201,3.427860696517413
1657,Young Frankenstein (1974),200,3.945
1391,Star Trek IV: The Voyage Home (1986),199,3.4472361809045227
621,Good Will Hunting (1997),198,4.262626262626263
303,Citizen Kane (1941),198,4.292929292929293
519,"Fifth Element, The (1997)",197,3.4771573604060912
580,Gandhi (1982),195,4.02051282051282
433,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),194,4.252577319587629
484,Face/Off (1997),194,3.768041237113402
1497,Tin Cup (1996),193,3.160621761658031
1013,Mrs. Doubtfire (1993),192,3.4114583333333335
1481,This Is Spinal Tap (1984),191,3.905759162303665
1270,Sabrina (1995),190,3.5
207,Boogie Nights (1997),189,3.5873015873015874
410,"Devil's Advocate, The (1997)",188,3.515957446808511
883,Lone Star (1996),187,4.053475935828877
884,"Long Kiss Goodnight, The (1996)",185,3.4702702702702704
1556,Ulee's Gold (1997),184,3.760869565217391
976,Mighty Aphrodite (1995),184,3.4184782608695654
1167,"Postino, Il (1994)",183,3.9672131147540983
1565,Unforgiven (1992),182,3.868131868131868
1456,Taxi Driver (1976),182,4.1208791208791204
380,Dave (1993),180,3.65
538,Fly Away Home (1996),180,3.6
1515,Tomorrow Never Dies (1997),180,3.4277777777777776
82,Annie Hall (1977),180,3.911111111111111
1077,North by Northwest (1959),179,4.284916201117318
1580,Vertigo (1958),179,4.251396648044692
312,Clear and Present Danger (1994),179,3.569832402234637
1176,Primal Fear (1996),178,3.601123595505618
947,Mary Poppins (1964),178,3.7247191011235956
455,Emma (1996),177,3.7175141242937855
1467,That Thing You Do! (1996),176,3.465909090909091
1016,Much Ado About Nothing (1993),176,4.0625
339,Cop Land (1997),175,3.3771428571428572
1201,Quiz Show (1994),175,3.645714285714286
577,G.I. Jane (1997),175,3.36
494,Fantasia (1940),174,3.7701149425287355
1266,Rumble in the Bronx (1995),174,3.4482758620689653
997,Monty Python's Life of Brian (1979),174,3.7471264367816093
851,Lawrence of Arabia (1962),173,4.23121387283237
618,Gone with the Wind (1939),172,3.854651162790698
1025,My Best Friend's Wedding (1997),172,3.36046511627907
1350,Snow White and the Seven Dwarfs (1937),172,3.7093023255813953
610,Glory (1989),171,4.076023391812866
262,Cape Fear (1991),171,3.456140350877193
667,Heathers (1989),171,3.690058479532164
1390,Star Trek III: The Search for Spock (1984),171,3.111111111111111
171,Big Night (1996),171,3.9005847953216373
596,Ghost (1990),170,3.4647058823529413
571,Full Metal Jacket (1987),170,3.6823529411764704
631,Grease (1978),170,3.347058823529412
319,Clueless (1995),170,3.458823529411765
1002,Mother (1996),169,3.1301775147928996
739,In the Line of Fire (1993),169,3.7928994082840237
1338,Sleepers (1996),169,3.514792899408284
474,Everyone Says I Love You (1996),168,3.2738095238095237
1149,"Piano, The (1993)",168,3.6011904761904763
415,Die Hard 2 (1990),166,3.355421686746988
232,"Bridge on the River Kwai, The (1957)",165,4.175757575757576
337,Cool Hand Luke (1967),164,3.9939024390243905
55,"American President, The (1995)",164,3.6280487804878048
1173,Pretty Woman (1990),164,3.323170731707317
1085,"Nutty Professor, The (1996)",163,2.914110429447853
179,"Birds, The (1963)",162,3.808641975308642
1295,Secrets & Lies (1996),162,4.265432098765432
820,Kingpin (1996),162,3.1296296296296298
1620,While You Were Sleeping (1995),162,3.549382716049383
587,George of the Jungle (1997),162,2.685185185185185
1393,Star Trek VI: The Undiscovered Country (1991),161,3.279503105590062
527,"First Wives Club, The (1996)",160,3.01875
92,Apt Pupil (1998),160,4.1
642,Grosse Pointe Blank (1997),160,3.675
891,"Lost World: Jurassic Park, The (1997)",158,2.9430379746835444
435,Dragonheart (1996),158,3.0822784810126582
1241,"Right Stuff, The (1983)",157,3.917197452229299
1441,Swingers (1996),157,3.828025477707006
478,Executive Decision (1996),157,3.356687898089172
143,Beavis and Butt-head Do America (1996),156,2.7884615384615383
1302,Seven Years in Tibet (1997),155,3.458064516129032
349,Crimson Tide (1995),154,3.6298701298701297
685,Highlander (1986),153,3.5359477124183005
566,Fried Green Tomatoes (1991),153,3.764705882352941
27,"African Queen, The (1951)",152,4.184210526315789
16,"Abyss, The (1989)",151,3.589403973509934
416,Die Hard: With a Vengeance (1995),151,3.2847682119205297
524,"Firm, The (1993)",151,3.2781456953642385
1226,"Remains of the Day, The (1993)",150,3.94
1349,Sneakers (1992),150,3.513333333333333
1183,"Professional, The (1994)",149,3.704697986577181
653,Happy Gilmore (1996),149,3.389261744966443
644,Grumpier Old Men (1995),148,3.0405405405405403
313,Clerks (1994),148,3.804054054054054
865,Like Water For Chocolate (Como agua para chocolate) (1992),148,3.804054054054054
1231,Reservoir Dogs (1992),148,3.9864864864864864
425,Donnie Brasco (1997),147,3.802721088435374
296,Chinatown (1974),147,4.136054421768708
1244,"River Wild, The (1994)",146,3.143835616438356
1206,"Rainmaker, The (1997)",145,3.6
768,Jackie Chan's First Strike (1996),145,3.2551724137931033
1063,"Nightmare Before Christmas, The (1993)",143,3.5874125874125875
1369,Spawn (1997),143,2.6153846153846154
823,Kiss the Girls (1997),143,3.4615384615384617
134,Batman Returns (1992),142,2.683098591549296
926,"Maltese Falcon, The (1941)",138,4.2101449275362315
1289,Searching for Bobby Fischer (1993),138,3.9057971014492754
327,Con Air (1997),137,3.45985401459854
1333,Singin' in the Rain (1952),137,3.9927007299270074
1589,Wag the Dog (1997),137,3.510948905109489
1147,Philadelphia (1993),137,3.854014598540146
622,"Good, The Bad and The Ugly, The (1966)",137,3.8613138686131387
753,Interview with the Vampire (1994),137,3.1824817518248176
690,Home Alone (1990),137,3.0875912408759123
585,Gattaca (1997),136,3.5955882352941178
1342,Sling Blade (1996),136,4.198529411764706
1132,Patton (1970),136,3.9926470588235294
1133,"Peacemaker, The (1997)",136,3.2720588235294117
355,"Crow, The (1994)",134,3.417910447761194
1257,"Room with a View, A (1986)",134,3.985074626865672
1018,Multiplicity (1996),134,2.8358208955223883
450,Ed Wood (1994),133,3.601503759398496
794,Jungle2Jungle (1997),132,2.4393939393939394
936,"Manchurian Candidate, The (1962)",131,4.259541984732825
616,GoldenEye (1995),131,3.2061068702290076
1037,Mystery Science Theater 3000: The Movie (1996),130,3.4307692307692306
104,Austin Powers: International Man of Mystery (1997),130,3.246153846153846
300,Cinderella (1950),129,3.5813953488372094
